"Principal Investigator","Lab website","Research description"
"Johnson, Thomas","http://ibgwww.colorado.edu/tj-lab/index.html","We are currently studying aging using the mouse and the nematode worm Caenorhabditis elegans as models, together with alcohol preference/sensitivity and anesthetics action in mice. "
"Kaeberlein, Matt   ","http://www.kaeberleinlab.org/","Research in the Kaeberlein Lab is focused on developing therapies for age-associated diseases by targeting the pathways that regulate aging."
"Kapahi, Pankaj","http://www.buckinstitute.org/TheScience/KapahiLab/","The overall focus of the Kapahi laboratory is to understand the molecular mechanisms of aging. Dietary restriction (DR) is a robust environmental method of lifespan extension in species as diverse as yeast, worms, fruit flies and rodents. Our laboratory was the first to identify the role of target of rapamycin (TOR) in mediating lifespan extension by DR. We propose that changes in mRNA translation downstream of the TOR pathway are key mediators  of its lifespan effects. We are employing an interdisciplinary approach combining biochemical, genetic and genomic techniques, to understand how DR mediates changes in lifespan and metabolism using Drosophila melanogaster, Caenorhabditis elegans and mammalian cell culture. Due to its robustness and strong conservation across species, identifying the molecular mechanisms that modulate lifespan upon DR holds great promise to find potential targets for enhancing healthspan in humans. Our work also has the broader significance to help uncover the role of nutrition and identify therapeutics for age-related human diseases like cancer, diabetes and neurodegeneration."
"Kennedy, Brian","http://depts.washington.edu/mcb/faculty_profile.php?fcid=218","http://depts.washington.edu/biowww/faculty/kennedy.html"
"Kenyon, Cynthia ","http://kenyonlab.ucsf.edu/","The Kenyon Lab studies genes and cells that control aging in the roundworm C. elegans."
"Kim, Stuart","http://cmgm.stanford.edu/~kimlab/","Aging is a complex process driven by diverse molecular pathways and biochemical events. Our goal is to first identify genes that are differentially expressed in old versus young animals, and then to dissect apart how changes in these genes lead to functional decline and senescence in old age. "
"King, Mary Claire","http://depts.washington.edu/kingweb/","We apply advanced genetic and genomics technologies to study complex, common human conditions. Our primary areas of interest are breast and ovarian cancers, neurogenetic disorders such as schizophrenia, inherited deafness, systemic lupus erythematosus, as well as the identification of victims of human rights abuses. We have collaborators from many parts of the world. Our goal is to contribute to the well being of the human race."
"Langer, Thomas","http://www.genetik.uni-koeln.de/groups/Langer/","The group analyses the conserved proteolytic system of these organelles which ensures the quality control of mitochondrial proteins and regulates key steps during mitochondrial biogenesis. Processes associated with mitochondrial membranes are in focus of research. Using Saccharomyces cerevisiae and transgenic and conditional knockout mice as model systems, we analyse the function of conserved mitochondrial proteases on the molecular level as well as their physiological roles and their pathogenic relevance in mammals."
"Leeuwenburgh, Christiaan","http://www.med.ufl.edu/IDP/BMB/bmbfacultypages/cleeuwenburgh.html","The lab is studying apoptosis and oxidative stress as it relates to aging."
"Lithgow, Gordon","http://www.buckinstitute.org/TheScience/thelithgow/","The Lithgow lab aims to understand the basic mechanisms of aging by genetic and pharmacologic manipulation of the lifespan of the microscopic nematode worm, Caenorhabditis elegans."
"Loeb, Lawrence","http://depts.washington.edu/loeblabs/","Our research is centered on the molecular biology of mutagenesis, and our goal is to understand the relationships between DNA damage, mutations and cancer. Our current work involves the study of the fidelity of DNA replication, an analysis of mutator phenotypes in human cancers, the creation of new enzymes for cancer gene therapy, the relationship of mutations to aging, and the prevention of HIV replication by mutagenic nucleoside analogs."
"Lombard, David","http://www.pathology.med.umich.edu/faculty/Lombard/index.html","Aging is a conserved but poorly understood biological phenomenon. In lower organisms, overexpression or hyperactivity of sirtuins – homologs of the yeast Sir2 deacetylase – confer extended lifespan. Mammals possess seven sirtuins, called SIRT1-SIRT7. Many of these proteins modulate metabolic processes; their potential roles in regulating aging in mammals are uncharacterized. We previously showed that SIRT3 is a mitochondrial factor that deacetylates numerous protein targets in this organelle; we are currently elucidating the biological significance of this activity. More recently we have found that calorie restriction (CR), an intervention that extends lifespan in many organisms, is also associated with perturbations in mitochondrial acetylation. Using a mass spectrometry-based approach, we have identified many factors with altered acetylation during CR as well as numerous novel SIRT3 substrates. We are currently working to uncover how acetylation affects activities of individual factors as well as overall mitochondrial function during CR."
"Martin, George    ","http://www.pathology.washington.edu/research/labs/Martin/index.html",
"Messaoudi, Ilhem","http://www.ohsu.edu/vgti/messaoudi.htm","he emphasis of my laboratory is to further our understanding of mechanisms underlying age-related T cell immune deficiencies using nonhuman primate animal models. "
"Miller, Rich","http://www-personal.umich.edu/%7Emillerr/RAM_home_page.htm","The Miller laboratory works on a number of problems related to the genetics of aging in mammals.  Projects underway include: Studies of the relationship between cellular stress resistance and aging in mice; Mapping genes that influence longevity and age-dependent traits; Intervention trials to find agents that slow aging in mice ; Studies of enzymes that reverse the effect of aging on T lymphocyte activation"
"Mills, Kevin","http://research.jax.org/faculty/mills/index.html","DNA double strand breaks (DSB) are serious chromosomal lesions that can lead to cell death or neoplastic transformation. Mammalian cells possess sophisticated and intricate mechanisms to sense and repair DNA breaks, thus maintaining genomic integrity and ensuring faithful and efficient replication of genetic material. The research interest of our laboratory is to understand the mechanisms that maintain genome stability and how they relate to human pathology, broadly focusing on three main topics: Basic mechanisms of genome stability; genome instability in tumorigenesis; Molecular and genetic pathobiology in a mouse mode of B-ALL"
"Mobbs, Charles","http://transmitter.neuro.mssm.edu/NeuroscienceLabs/MobbsLab/index.php","Our laboratory uses histological, behavioral, electrophysiological, and molecular, methods (including DNA microarrays and RNA interference) to assess the basic mechanisms by which hypothalamic neurons sense and regulate metabolic state (including body weight and food intake), and how these mechanisms are impaired in metabolic diseases and during aging."
"Nystrom, Thomas","http://www.gmm.gu.se/groups/nystrom/","One component of our research focuses on the link between mitochondria as determinants of age, particularly in afecting yeast cell life span."
"Orr-Weaver, Terry","http://web.wi.mit.edu/orr-weaver/home.html","Our research goal is to decipher how the two fundamental steps in cell division, DNA replication and chromosome segregation, are regulated during the development of multicellular organisms. "
"Osiewacz, HD","http://www.uni-frankfurt.de/fb/fb15/english/institute/inst-3-mol-biowiss/AK-Osiewacz/prof_osiewacz/index.html",
"Paigen, Beverely","http://research.jax.org/faculty/beverly_paigen.html","Most common human diseases are complex, caused by many genes that interact with environmental risk factors. For examples, the genes that cause heart disease interact with a person's diet and exercise regimen, and the genes that cause high blood pressure interact with a person's salt intake and stress level. We use mouse models to study these diseases because mice are genetically well defined, relatively inexpensive to work with, reproduce quickly, are biologically very similar to humans, and their environments can be strictly regulated. Understanding the genetics of quantitative traits in mice helps us understand them in humans. In our laboratory, we are focusing on finding genes that control HDL-cholesterol levels, one of the many traits underlying heart disease risk. If we can identify some of these genes, we will gain insight into gene networks and systems biology. Additionally, we are applying similar techniques to studies of lung disease and the genetics of aging and longevity."
"Palmer, Ruth","http://soul.ucmp.umu.se/ruth/","In humans, one third of non-Hodgkins lymphomas involve a 2;5 chromosomal translocation. In this translocation the catalytic domain of the orphan RTK ALK is fused to a nuclear phosphoprotein: NPM (nucleophosmin) producing a NPM-ALK/p80 protein with constituative PTK activity (see Figure on left). This NPM-ALK/p80 fusion protein is capable of transformation when expressed in cell lines. The role of ALK-mediated signalling has yet examined in any model system."
"Partridge, Linda","http://www.ucl.ac.uk/iha/Linda_Partridge/Partridge_Laboratory","Our work focuses particularly on the insulin/IGF-like signalling pathway, dietary restriction and resistance to stress. We are interested also in the physiological mechanisms that force organisms to make trade-offs, such as that between high nutrient intake and high reproductive rate, on one hand and slow ageing on the other."
"Pfanning, Nikolaus","http://www.biochemie.uni-freiburg.de/pfanner/pfanner.htm","Major topics of our group are the specific recognition of the preproteins by receptors on the mitochondrial surface, the transport of this preproteins across the outer and inner mitochondrial membranes, and the role of molecular chaperones in the translocation and folding of proteins."
"Puigserver, Pere","https://www.lablife.org/lab?g=433",
"Rabinovitch, Peter","http://www.pathology.washington.edu/research/labs/rabinovitch/","The focus of the Rabinovitch laboratory is upon the studies of DNA damage and genetic instability in aging and during neoplastic progression. In aging, we are interested in the connection between DNA damage, free radical theories of aging, disease, and lifespan. Transgenic mice that overexpress catalase and other antioxidant enzymes have enhanced longevity and are being examined to provide insights in this model system. Studies of neoplastic progression focus on precancerous human gastrointestinal diseases and the hope that a better understanding of these disease processes will yield improved management of individual patients and their cancer risk. In this work, telomere shortening and chromosomal instability, as measured by PCR, fluorescence in situ hybridization (FISH), DNA arrays, and flow cytometry are being studied in patients with ulcerative colitis, sporadic colon cancer, and Barrett's esophagus."
"Rattan, Suresh","http://www.sureshrattan.com/index.php?option=com_content&view=article&id=65&Itemid=60","Ageing is the progressive shrinkage of the homeodynamic space, which effectively leads to an increased zone of vulnerability and the onset of age-related diseases."
"Riddle, Don","http://www.riddlelab.msl.ubc.ca/index.php","The nematode Caenorhabditis elegans is a relatively simple model organism for the study of animal development and behavior. Although development from egg to adult can be continuous in abundant food, it can be arrested by formation of a third-stage dauer larva, a dispersal stage that may be formed under conditions of starvation or overcrowding. Over the past 30 years, my laboratory has studied the genetics, neurobiology and developmental biology of this decision point in the life cycle."
"Rudolph, K. Lenhard","http://www.ourcommonfuture.de/en/the-idea/scientific-advisors/essen/prof-karl-lenhard-rudolph/",
"Ruvkun, Gary ","http://ccib.mgh.harvard.edu/ruvkunlab-research.htm","The Ruvkun lab uses C. elegans molecular genetics and genomics to study problems in gene regulation, developmental biology, and physiology. Research in the Ruvkun lab led to the discovery of the first microRNA genes and their mRNA targets by the Ambros and Ruvkun labs, the discoveries that the mechanism of microRNA regulation of target mRNAs is post-transcriptional, that some microRNA genes are conserved across animal phylogeny, the computational discovery of hundreds of microRNAs by the Ruvkun and Church labs, and the discovery of a common core microRNA and RNAi mechanism by the Ruvkun and Mello labs. Our lab is now using functional genomic and genetic strategies to systematically discover the components of the RNAi and microRNA pathways in C. elegans. We have recently identified many genes that positively or negatively regulate RNAi and microRNA pathways. These genes reveal the trajectory of siRNAs and miRNAs as they target mRNAs, as well as components that may be developed as drug targets to enhance RNAi in mammals."
"Sainsard-Chanet, Annie","http://www.cgm.cnrs-gif.fr/podospora/index_gb.html","Our group uses the filamentous fungus Podospora anserina as a simple model to study aging. This ascomycetous fungus undergoes a distinctive aging process, which is systematically associated with mtDNA instability. We have recently shown that respiratory metabolism has a key role in this process. Our work aims (1) to deepen our understanding of the link between mitochondria and aging, (2) to understand the mechanisms behind the instability of the mitochondrial chromosome, and (3) to characterize new functions and parameters implicated in life span regulation."
"Schlessinger, David","http://www.grc.nia.nih.gov/branches/lg/lg.htm","The interests of the Laboratory are based on the view that aging has genetic determinants as an integrated part of human development, with a profound dependence on the interplay of synthetic and degradative processes that are initiated in utero"
"Selman, Colin","http://www.abdn.ac.uk/biologicalsci/staff/details/c.selman","My main area of research interest is in trying to identify the mechanism/s that underlie the ageing process in mammals, using various experimental paradigms that extend lifespan AND healthspan in rodents."
"Shay, Jerry","http://www4.utsouthwestern.edu/cellbio/shay-wright/index.html","In collaboration with Brian Pilcher and Michael White, our laboratory is pursuing studies on the factors regulating the rate of telomere shortening in different cell types, the structure of telomeres, factors that interact with telomerase and regulate its action on telomeres, and the application of the ability to immortalize cells for the treatment of human diseases, such as muscular dystrophy and chronic ulcers."
"Shore, David","http://www.molbio.unige.ch/shore/index.php","Our general area of interest is the relationship between chromosome structure and the processes of gene regulation, DNA replication, repair and recombination, and chromosome segregation. We use the budding yeast Saccharomyces cerevisiae as our experimental system and employ genetic, molecular, biochemical and cell biological approaches to address specific mechanistic questions. "
"Sinclair, David","http://pathology.hms.harvard.edu/labs/sinclair/","Our research is devoted to understand the key molecular events that cause organisms to grow old and die. We are studying aging in several model systems, including the budding yeast S. cerevisiae, the nematode C. elegans, and mammalian cell culture lines. Our current research is devoted to understanding the functioning and regulation of the sirtuins, a class of enzymes that may act as cellular guardians."
"Spindler, Stephen ","http://biochem.ucr.edu/faculty/spindler.html",
"Stürzenbaum, Stephen","http://wormsrus.50webs.com/","In eukaryotes the control of heavy metals is believed to be multifactorial, consisting of several different pathways, encompassing a whole scope of chaperones, metalloenzymes, permeases, reductases and transcription factors (see figure). By exploiting genomics and proteomics within model species as well as key environment organisms, we aim to increase our knowledge of metal metabolism."
"Sundberg, John ","http://research.jax.org/faculty/sundberg/index.html","We are developing database tools for recording mouse pathology diagnoses/phenotypes. Our aim is to develop record keeping for necropsy results that uses a standardized ontology of terms and is also easy to use."
"Tanguay, Robert M.","http://labrt.rsvs.ulaval.ca/indexeng.html","Our work focuses on the structure of HSPs and their interaction with other proteins. These studies are geared to understanding the mechanism by which HSPs confer resistance to stress, as well as the elucidation of their functions during development and during cell differentiation."
"Tibbetts, Randal","http://www.waisman.wisc.edu/faculty/tibbetts.html","Our laboratory seeks to understand how defects in the detection and signaling of DNA damage lead to neurodegenerative disease and cancer. The bulk of our work is focused on understanding the function and regulation of the ataxia-telangiectasia-mutated (ATM) gene, which is mutated in the cancer susceptibility/neurodegeneration syndrome, ataxia-telangiectasia (A-T). A-T affects approximately 1 in 40,000 children and is characterized by progressive degeneration of the cerebellum and a 100-fold increased risk for cancer."
"Tower, John","http://towerlab.usc.edu/","We believe Drosophila will prove to be as good a model for the basic mechanisms of human aging as it has been for the basic mechanisms of human development. We are taking two approaches: The first approach is to identify genes that directly regulate life span. The second general approach we are taking is to study the regulation of heat shock gene expression as a function of age."
"Ungvari, Zoltan","http://ouhsc.edu/geriatricmedicine/roca/Research/ungvari.html",
"Vanfleteren, Jacques R","http://www.physiology.ugent.be/index.html","The major hallmarks of aging are a decline of physiological function and a concomitant increase of age-specific death rate. The detailed molecular mechanism(s) of aging remain unrevealed, but it is widely assumed that molecular damage due to reactive oxygen species may play a key role in this process.  It is currently thought that the balance between oxidative damage due to reactive oxygen species, and the potential to resist such damage, determines the pace of the age-related metabolic and physiological decrements. We have used the nematode Caenorhabditis elegans as a model for studying the age-associated metabolic decline. "
"Xiaochen Wang","http://www.nibs.ac.cn/english/?act=view&id=187","The main research interest of my lab focuses on the understanding of how phagocytosis is regulated during programmed cell death."
"Walker, David","http://www.mcip.ucla.edu/indivfaculty.php?FacultyKey=9698","Our lab is using the powerful genetics of the fruit fly Drosophila melanogaster to better understand the role of mitochondria in health and longevity. Drosophila has proven to be an invaluable resource for understanding many molecular and cellular mechanisms of human disease, powered by versatile gene discovery methods and a biology that has much in common with that of humans. The long-term aim of this research i"
"Wallace, Douglas C.","http://www.niu.edu/psyc/faculty/wallace.shtml","My research program investigates the relationship between neural systems and navigational strategy use to gain an understating of spatial disorientation observed in AD."
"Wright, Woodring","http://www4.utsouthwestern.edu/cellbio/shay-wright/index.html","In collaboration with Brian Pilcher and Michael White, our laboratory is pursuing studies on the factors regulating the rate of telomere shortening in different cell types, the structure of telomeres, factors that interact with telomerase and regulate its action on telomeres, and the application of the ability to immortalize cells for the treatment of human diseases, such as muscular dystrophy and chronic ulcers."
"Zeitlin, Scott","http://www.healthsystem.virginia.edu/internet/neurosci/Faculty/Zeitlin/zeitlin.cfm","My laboratory is interested in understanding the pathogenetic mechanism of Huntington's disease (HD)."
"Zou, Sige","http://www.grc.nia.nih.gov/branches/irp/szou.htm","Aging is a fundamental and multi-factorial biological process that occurs in most eukaryotic organisms. Genetic analyses of model organisms have uncovered mutations in a number of genes that can affect lifespan. We have been applying genomic and genetic approaches to study mechanisms of aging at molecular, cellular and tissue levels and investigate prolongevity interventions that modulate aging processes."
